SMILES
Cc1ccc(cc1)[S](O)(=O)=O.CC2(C)CC(N)CC(C)(CN)C2
CN(C)c1ccc(N)cc1
Nc1cccc(c1)C#N
Nc1ccccn1
Nc1cccnc1
Nc1ccncc1
Nc1ccc(Nc2ccccc2)cc1
N[S](O)(=O)=O
NCC1=CC(=O)NO1
[NH4+].O.NC([O-])=O
[Cl-].C[N+](C)(C)CCOC(N)=O
Nc1cnc2ccccc2c1
Nc1ccc(cc1)c2ccccc2
N.CC=O
NCCOCCO
F\C(=C(\F)C(F)(F)F)C(F)(F)F
FC(F)(F)C(F)(F)C(F)(F)F
FC1(F)C(F)(F)C(F)(F)C1(F)F
FC(F)=C(C(F)(F)F)C(F)(F)F
CN(C)[P](=O)(O[P](=O)(N(C)C)N(C)C)N(C)C
ClCC1(CCl)C(=C)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl
Brc1ccc(c(Br)c1Br)c2c(Br)c(Br)c(Br)c(Br)c2Br
o1ccc2ccccc12
Nc1cccc(N)c1
Nc1ccc(N)cc1
Oc1ccccc1[S](O)(=O)=O
NN[S](=O)(=O)c1ccccc1
Cl[S](=O)(=O)c1ccccc1
C=CCCc1ccccc1
N(c1ccccc1)c2ccc3ccccc3c2
Sc1ccccc1
Cl[P](Cl)(=O)c1ccccc1
CCOC(=O)C(C)N(C(=O)c1ccccc1)c2ccc(Cl)c(Cl)c2
N#Cc1ccccc1
ClC(Cl)=Nc1ccccc1
Cl[P](Cl)(=S)c1ccccc1
O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12
OC(C#N)c1ccccc1
O=C=NCCc1ccccc1
C#Cc1ccccc1
ClC(=O)Cc1ccccc1
[O-][N+](=O)c1ccc(NC(=O)NCc2cccnc2)cc1
C(c1ccccc1)c2ccccn2
C(c1ccccc1)c2ccncc2
CC1(C)[C@@H]2CC[C@]1(C)[C@H](C2)OC(=O)CSC#N
CC(C)N[P](F)(=O)NC(C)C
CC(N)CN
NCCCN
CCOCC(C)O
N#CCC#N
[CH2]=[C]=[CH2]
ClC(=O)CC(Cl)=O
OC(=O)C#C
CCC(=O)OCC=C
CCC(=O)OC(C)C
CCC(=O)OCC(C)C
CCC(=O)OCCC(C)C
CCCCOC(=O)CC
CCCCCOC(=O)CC
CCC(C)OC(=O)CC
SCC=C
CCC(COC(=O)C=C)[N+]([O-])=O
CC(CO)OC(=O)C=C
CC(C)(C)OC(=O)C=C
CC(C)CCCCCOC(=O)C=C
CN(C)c1ccc(N)cc1.OC(=O)C(O)=O
ICC=C
CC(C)CI
CC(C)(C)I
CC(C)CCI
Oc1ccc(I)cc1
CC(C)I
CC(C)I
CCCCI
CCC(C)I
CC(I)=O
CCCCCI
OC(=O)CI
CCOC(=O)CI
CCI
