Canonical SMILES,Health,Fire,Reactivity,W,OX
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,1,1,0,0,0
CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,1,1,0,0,0
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,0,1,0,0,0
CC(C)OC(=O)OOC(=O)OC(C)C,0,1,1,0,0
COC,1,1,1,0,0
CSC,1,1,0,0,0
C1=CC=C(C=C1)CCl,1,1,1,0,0
CCCCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCCCC,1,1,0,0,0
CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,1,0,0,0,0
C1=CC=C(C=C1)C(=O)Cl,1,1,1,1,0
CCCCCCCCCCCCC1=CC=CC=C1O,0,1,0,0,0
C1=CC=C(C=C1)C=O,1,1,0,0,0
CCCC(=O)OCC,1,1,0,0,0
CCOC(=O)CCl,0,1,0,0,0
CCOC(=O)Cl,1,1,1,0,0
CCOC(=O)C(C)O,1,1,0,0,0
CCOC,1,1,1,0,0
CCO[N+](=O)[O-],1,1,1,0,0
CCON=O,1,1,1,0,0
C(CCl)O,1,1,0,0,0
C(CO)C#N,1,1,1,1,0
CC(=O)OCCOC(=O)C,1,1,0,0,0
CCCCOCCOC(=O)C,1,1,0,0,0
CCCCCS,1,1,0,0,0
CC(=CCCC(=CCO)C)C,1,1,0,0,0
C(C(CO)O)O,1,1,0,0,0
C(CCl)OCCCl,1,1,0,0,0
CC(CCl)OC(C)CCl,1,1,0,0,0
CCCCN,1,1,0,0,0
C1=CC=C(C(=C1)Cl)Cl,1,1,0,0,0
C1=CC(=CC=C1Cl)Cl,1,1,0,0,0
CCNCC,1,1,0,0,0
CC(C)CC(=O)CC(C)C,1,1,0,0,0
CN(C)N,1,1,1,0,0
C1=CC=C(C=C1)C2=CC=CC=C2,1,1,0,0,0
C(CO)N,1,1,0,0,0
CCBr,1,1,0,0,0
CCCl,1,1,0,0,0
C(CN)N,1,1,0,0,0
CCCCOCCO,1,1,0,0,0
CCOCCOC(=O)C,1,1,0,0,0
C1CN1,1,1,1,0,0
C1=COC(=C1)C=O,1,1,1,0,0
CCCCC(=O)C,1,1,0,0,0
CCCCCC=O,1,1,1,0,0
CCCCCCO,1,1,0,0,0
C1=CC(=CC=C1O)O,1,1,0,0,0
CC(=O)OCC(COC(=O)C)OC(=O)C,0,1,0,0,0
CC(=CCCC(=CCOC(=O)C)C)C,1,1,0,0,0
CC(C)CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC(C)C,1,1,0,0,0
CC(CCC=C(C)C)CC=O,0,1,0,0,0
CC(COC(=O)C=C)O,1,1,1,0,0
CC(C)OC1=CC=CC=C1OC(=O)NC,1,1,0,0,0
CC(C)CCO,1,1,0,0,0
CC(C)C,0,1,0,0,0
CC(C)COC(=O)C,1,1,0,0,0
CC(C)COC(=O)C=C,1,1,1,1,0
CC(C)CN,1,1,0,0,0
CC(=C)C,1,1,1,0,0
CC(C)C=O,1,1,1,0,0
CC(C)CCCCCCCO,0,1,0,0,0
C=CCN=C=S,1,1,1,0,0
CCC(C)C,1,1,0,0,0
CC1=CC(=O)CC(C1)(C)C,1,1,0,0,0
CC(=C)C=C,1,1,1,1,0
C=CCOC(=O)Cl,1,1,1,0,0
C=CCBr,1,1,1,0,0
CC(C)OC(C)C,1,1,1,0,0
C(CCC#N)CC#N,1,1,1,0,0
CC(C)CC=O,1,1,0,0,0
CC(=CCCC(C)(C=C)OC(=O)C)C,1,1,0,0,0
CC(=CCCC(C)(C=C)O)C,1,1,0,0,0
CC(=O)Cl,1,1,1,1,0
C1=CC=C(C(=C1)C(=O)O)O,1,1,0,0,0
CCC(C)OC(=O)C,1,1,0,0,0
CCC(C)O,1,1,0,0,0
CCCCCCCCO,1,1,0,0,0
